abstract,Rouge1-F1,Rouge2-F1,RougeL-F1,RougeLSum-F1,METEOR_Final
" 
 introduction . primary hyperparathyroidism ( php ) is characteristically determined by high levels of calcium and high or inappropriate levels of parathyroid hormone ( pth ) . 
 technological advances have dramatically changed the surgical technique over the years once intraoperative parathyroid hormone ( iopth ) assay had allowed for focused approaches . objective . to evaluate our 10-year experience in employing a rapid intraoperative pth assay for php . 
 methods . a prospective cohort of 91 php - operated patients in a tertiary institution in so paulo , brazil , from june 2000 to april 2011 . results . 
 we had 85 ( 93.4% ) successful parathyroidectomies , 6 ( 6.6% ) failed parathyroidectomies in 91 previous unexplored patients , and 5 ( 100% ) successful remedial surgeries . 
 the iopth was true - positive in 88.5% , true - negative in 7.3% , false - positive in 2.1% , and false - negative in 2.1% of the procedures . 
 iopth was able to obviate additional exploration or to ask for additional exploration in 92 ( 95.8% ) procedures . conclusion . 
 the iopth revealed to be an important technological adjunct in the current parathyroid surgery for php . ",0.3899,0.1095,0.1971,0.3229,0.2909
" objectiveto evaluate the impact of comorbid depressive symptoms and/or stress on adverse cardiovascular ( cv ) outcomes in individuals with diabetes compared with those without diabetes.research design and methodsinvestigators examined the relationship between baseline depressive symptoms and/or stress in adults with and without diabetes and physician - adjudicated incident cv outcomes including stroke , myocardial infarction / acute coronary heart disease , and cv death over a median follow - up of 5.95 years in the national regards cohort study.resultssubjects included 22,003 adults ( 4,090 with diabetes ) ( mean age 64 years , 58% female , 42% black , and 56% living in the southeastern  stroke belt  ) . 
 elevated stress and/or depressive symptoms were more common in subjects with diabetes ( 36.8% vs. 29.5% ; p < 0.001 ) 
 . in fully adjusted models , reporting either elevated stress or depressive symptoms was associated with a significantly increased incidence of stroke ( hr 1.57 [ 95% ci 1.05 , 2.33 ] vs. 1.01 [ 0.79 , 1.30 ] ) and cv death ( 1.53 [ 1.08 , 2.17 ] vs. 1.12 [ 0.90 , 1.38 ] ) in subjects with diabetes but not in those without diabetes . the combination of both elevated stress and depressive symptoms in subjects with diabetes was associated with a higher incidence of cv death ( 2.15 [ 1.33 , 3.47 ] ) than either behavioral comorbidity alone ( 1.53 [ 1.08 , 2.17 ] ) and higher than in those with both elevated stress and depressive symptoms but without diabetes ( 1.27 [ 0.86 , 1.88]).conclusionscomorbid stress and/or depressive symptoms are common in individuals with diabetes and together are associated with progressively increased risks for adverse cv outcomes . ",0.4376,0.1797,0.2306,0.3482,0.2451
" introduction : antineutrophil cytoplasmic antibodies ( anca)-associated glomerulonephritis ( gn ) is characterized by necrotizing and crescentic gn with paucity of immunoglobulin ( ig ) and complement deposition , which is also known as pauci - immune crescentic gn . 
 membranous nephropathy ( mn ) is characterized by the formation of subepithelial immune deposit with resultant changes in glomerular basement membrane ( gbm ) , most notably spike formation.case presentation : a 48-year - old man presented with marked proteinuria , hypoalbuminemia , and renal dysfunction with positive results for myeloperoxidase ( mpo ) and anca . 
 renal biopsy revealed crescents and thick gbm with subepithelial spikes along with igg deposition on immunofluorescent staining . 
 the condition was diagnosed as mn with mpo - anca - associated crescentic gn . 
 he was treated with intravenous methylprednisolone and cyclophosphamide . 
 after one - month follow - up , antibody level and renal function did not improve.conclusions:coexistence of mn with mpo - anca crescentic gn is very rare and should be managed aggressively . ",0.5434,0.2873,0.3361,0.4986,0.443
" although several studies have shown that enhanced cardiovascular reactivity can predict hypertension development in african americans , these findings have not been consistent among all studies examining reactivity and hypertension susceptibility . 
 this inconsistency may be explained by the influence of anxiety ( state and trait ) on the blood pressure response to stress . 
 therefore , this study sought to determine whether anxiety is associated with blood pressure response to cold pressor ( cp ) and anger recall ( ar ) stress tests in young healthy african americans . 
 modeling using state and trait anxiety revealed that state anxiety predicts systolic ( sbp ) and diastolic blood pressure dbp response to cp and ar ( p  0.02 ) . 
 interestingly , state anxiety predicted heart rate changes only to cp ( p < 0.01 ; p = 0.3 for ar ) . 
 although   trait anxiety was associated with sbp response to ar and not cp , it was not a significant predictor of reactivity in our models . we conclude that anxiety levels may contribute to the variable blood pressure response to acute stressors and , therefore , should be assessed when performing cardiovascular reactivity measures . ",0.4217,0.1515,0.2048,0.3795,0.3308
" sweet 's syndrome is a well - known entity in the field of dermatology . 
 it has presented itself in myriad forms , well - recorded in literature . 
 our patient presented with a sudden eruption of nontender molluscoid pseudovesicles distributed over the neck and forearms alone . a complete diagnostic work up for the same did not give any clue regarding an underlying systemic ailment , responsible for the dermatosis . 
 this case is being presented because of this extremely rare morphology of gomm - button disease . ",0.3093,0.0729,0.1753,0.2268,0.2584
" standard cleaning processes may not remove all the soiling typically found in food industry , such as carbohydrates , fats , or proteins . 
 contaminants have a high impact in disinfection as their presence may reduce the activity of disinfectants . 
 the influence of alginic acid , bovine serum albumin , yeast extract , and humic acids was assessed on the antimicrobial activities of benzalkonium chloride and cetyltrimethyl ammonium bromide against bacillus cereus vegetative cells and pseudomonas fluorescens . 
 the bacteria ( single and consortium ) were exposed to surfactants ( single and combined ) in the absence and presence of potential disinfection interfering substances . 
 the antimicrobial effects of the surfactants were assessed based on the bacterial respiratory activity measured by oxygen uptake rate due to glucose oxidation . 
 the tested surfactants were efficient against both bacteria ( single and consortium ) with minimum bactericidal concentrations ranging from 3 to 35  mgl1 . 
 the strongest effect was caused by humic acids that severely quenched antimicrobial action , increasing the minimum bactericidal concentration of the surfactants on p. fluorescens and the consortium . 
 the inclusion of the other interfering substances resulted in mild interferences in the antibacterial activity . 
 this study clearly demonstrates that humic acids should be considered as an antimicrobial interfering substance in the development of disinfection strategies . ",0.4468,0.1325,0.2043,0.3957,0.322
" several authors still consider the mechanical problems of fracture and component loosening as the main causes of failure of implant - supported restorations . 
 the purpose of this in vitro study was to compare the preload of three types of screw for transmucosal abutment attachment used in single implant - supported prosthesis through strain gauge and removal torque measurements . 
 three external hex fixtures were used , and each received a transmucosal abutment ( cera one ) , which was fixed to the implant with its respective screw : group a- gold screw , group b- titanium screw and group c- surface - treated titanium screw ( ti - tite ) . 
 ten screws of each type were attached applying a 30.070.28 ncm torque force and maintained in position for 5 minutes . 
 after this , the preload values were measured using strain gauges and a measurement cell . 
 gold screws presented higher preload values ( 131.728.98 n ) , followed by surface - treated titanium screws ( 97.784.68 n ) and titanium screws ( 37.035.69 n ) . 
 anova ( p<0.05 ) and tukey 's test ( p<0.05 ) were applied . 
 statistically significant differences were found among the groups for both preload and removal torque values . in conclusion 
 , gold screws may be indicated to achieve superior longevity of the abutment - implant connection and , consequently , prosthetic restoration due to greater preload values yielded . ",0.4607,0.1632,0.1832,0.3927,0.2717
" purposefluoropyrimidine - based combination chemotherapy , in combination with either oxaliplatin or irinotecan , has demonstrated efficacy and tolerability in treatment of advanced colorectal cancer ( acc).materials and methodsbetween january 2006 and december 2007 , a total of 478 acc patients were treated with combination chemotherapy in first - line settings . 
 combination therapies included : 5-fluorouracil , folinic acid plus oxaliplatin ( folfox , n=172 ) , 5-fluorouracil , folinic acid plus irinotecan ( folfiri , n=95 ) , capecitabine plus oxaliplatin ( xelox , n=155 ) , and capecitabine plus irinotecan ( xeliri , n=56 ) . 
 folfox and folfiri were repeated every 2 weeks , whereas xelox and xeliri were repeated every 3 weeks until occurrence of disease progression or unacceptable toxicity , or until a patient chose to discontinue treatment.resultsthe median age was 58 years ( range , 19 to 84 years ) and the median chemotherapy durations for folfox , folfiri , xelox , and xeliri were 4.9 , 4.5 , 5.7 , and 5.4 months , respectively . 
 combination chemotherapy regimens were generally well tolerated . 
 the estimated median progression - free - survival ( pfs ) for all patients was 6.8 months ( 95% confidence interval , 6.3 to 7.3 months ) . 
 no statistically significant difference in pfs was found among regimens used as first - line chemotherapy . 
 sixty percent ( n=290 ) of patients received second or further lines of therapy after failure.conclusionfluoropyrimidine-based combination chemotherapy regimens appear to be equally active and tolerable as first - line therapy for acc . ",0.4591,0.1884,0.2236,0.3992,0.3656
" lymphomatoid granulomatosis ( lyg ) is a lymphoproliferative disease involving the lungs most frequently ; however , it may also involve the kidneys , skin and especially the central nervous system . 
 unique initial presentation of spinal involvement is extremely rare and epidural lesion of thoracic spine has not been reported . 
 the prognosis for lyg has been reported to be poor , and there currently exists no satisfactory established treatment protocol . the purpose of this study is to report a case of successful treatment with surgery and rituximab combination therapy in thoracic spinal lyg . ",0.3314,0.1548,0.2426,0.2663,0.3661
" 

 aim . to prove the safety and feasibility of minimally invasive ( laparoscopic and robotic ) colorectal resection in kidney recipients by evaluating the technical protocol and reviewing short- and long - term outcomes . methods . between may 2007 and august 2012 , 
 a retrospective review of ten kidney transplant patients diagnosed with colorectal cancer was evaluated for technical tips , short- and long - term outcomes . 
 results . 
 the mean patients ' age was 56.8  9.91 years and 50% of them were male . 
 anterior and low anterior resections were performed in 40% of the patients each ; 20% and 10% of the patients underwent right and left hemicolectomy , respectively . 
 most ( 90% ) procedures were performed laparoscopically and 10% were performed robotically . no open conversions . 
 mean operating time was 192.5  15  min , blood loss was 30  50  ml , and mean hospital stay was 9.7  5.5 days . 
 two ( 20% ) patients had postoperative complications : wound seroma and chyloperitoneum . over a mean follow - up period of 31.4  21.57 months , 
 no mortality or kidney rejection occurred . among the six patients followed up for a mean of 43.5  9.84 months , 83.3% were 3-year disease - free and the overall survival rate was 100% . conclusion . 
 minimally invasive colorectal resection is likely to be safe and feasible , with fewer complications and acceptable short- and long - term outcomes , in kidney transplant recipients . ",0.4537,0.1667,0.2439,0.3951,0.2799
" acute occlusion of the superior mesenteric artery ( sma ) causes extensive bowel necrosis , resulting in a poor prognosis with an extremely high mortality rate . 
 an 82-year - old woman was admitted to our hospital with the complaint of abdominal pain . 
 she was diagnosed as having acute sma occlusion by enhanced ct . 
 five hours from onset , the first thrombolytic therapy with urokinase was performed , but failed to complete thrombolysis and recanalization of peripheral blood flow . 
 an exploratory laparotomy following the first thrombolytic therapy showed a mild ischemic change in the affected intestine and mesentery , but no sign of necrosis . 
 after the laparotomy , local thrombolytic therapy with angiographic evaluation of blood flow at 24 , 36 and 48 h from the first thrombolysis was performed . as a result , 
 the residual thrombus disappeared and all branches of the sma became well visualized . 
 the patient was discharged well without a second - look operation or major bowel resection . 
 sequential intermittent thrombolytic therapy with meticulous angiographic evaluation of blood flow is effective for early - stage acute sma occlusion . ",0.445,0.1509,0.2145,0.3807,0.334
" study design 
 retrospective analysis.objective 
 to evaluate the correlation and reliability of cervical sagittal alignment parameters obtained from lateral cervical radiographs ( xrs ) compared with lateral whole - body stereoradiographs ( srs).methods 
 we evaluated adults with cervical deformity using both lateral xrs and lateral srs obtained within 1  week of each other between 2010 and 2014 . 
 xr and sr images were measured by two independent spine surgeons using the following sagittal alignment parameters : c2c7 sagittal cobb angle ( sca ) , c2c7 sagittal vertical axis ( sva ) , c1c7 translational distance ( c17 ) , t1 slope ( t1-s ) , neck tilt ( nt ) , and thoracic inlet angle ( tia ) . 
 pearson correlation and paired t test were used for statistical analysis , with intra- and interrater reliability analyzed using intraclass correlation coefficient ( icc).results 
 a total of 35 patients were included in the study . 
 we found excellent intrarater reliability for all sagittal alignment parameters in both the xr and sr groups with icc ranging from 0.799 to 0.994 for xr and 0.791 to 0.995 for sr . 
 interrater reliability was also excellent for all parameters except nt and tia , which had fair reliability . 
 we also found excellent correlations between xr and sr measurements for most sagittal alignment parameters ; sca , sva , and c1c7 had r  >  0.90 , and only nt had r  <  0.70 . 
 there was a significant difference between groups , with sr having lower measurements compared with xr for both sva ( 0.68 cm lower , p  <  0.001 ) and c1c7 ( 1.02 cm lower , p  <  0.001 ) . 
 there were no differences between groups for sca , t1-s , nt , and tia.conclusion 
 whole - body stereoradiography appears to be a viable alternative for measuring cervical sagittal alignment parameters compared with standard radiography . 
 xr and sr demonstrated excellent correlation for most sagittal alignment parameters except nt . 
 however , sr had significantly lower average sva and c1c7 measurements than xr 
 . the lower radiation exposure using single sr has to be weighed against its higher cost compared with xr . ",0.5476,0.2345,0.2538,0.4908,0.3379
" nucleotide excision repair ( ner ) plays a critical role in maintaining the integrity of the genome when damaged by bulky dna lesions , since inefficient repair can cause mutations and human diseases notably cancer .   
 the structural properties of dna lesions that determine their relative susceptibilities to ner are therefore of great interest .   as a model system 
 , we have investigated the major mutagenic lesion derived from the environmental carcinogen benzo[a]pyrene ( b[a]p ) , 
                   10s ( + ) -trans - anti - b[a]p - n2-dg in six different sequence contexts that differ in how the lesion is positioned in relation to nearby guanine amino groups .   
 we have obtained molecular structural data by nmr and md simulations , bending properties from gel electrophoresis studies , and ner data obtained from human hela cell extracts for our six investigated sequence contexts .   
 this model system suggests that disturbed watson - crick base pairing is a better recognition signal than a flexible bend , and that these can act in concert to provide an enhanced signal . 
 steric hinderance between the minor groove - aligned lesion and nearby guanine amino groups determines the exact nature of the disturbances .   both nearest neighbor and more distant neighbor sequence contexts have an impact .   
 regardless of the exact distortions , we hypothesize that they provide a local thermodynamic destabilization signal for repair . ",0.2346,0.0541,0.1154,0.2192,0.1836
" several possible and potentially overlapping genetic mechanisms have been suggested to explain differences in life span between males and females . 
 two recent papers in bmc evolutionary biology on the effects of inbreeding provide additional insight into the genetic architecture underlying life span differences between genders in two different insects . ",0.3673,0.2207,0.2721,0.2721,0.3896
" sepsis can sometimes be difficult to substantiate , and its distinction from non - infectious conditions in critically ill patients is often a challenge . 
 serum procalcitonin ( pct ) assay is one of the biomarkers of sepsis . 
 the present study was aimed to assess the usefulness of pct assay in critically ill patients with suspected sepsis . 
 the study included 40 patients from the intensive care unit with suspected sepsis . 
 sepsis was confirmed clinically and/or by positive blood culture . 
 serum pct was assayed semi - quantitatively by rapid immunochromatographic technique ( within 2 hours of sample receipt ) . among 40 critically ill patients , 21 
 had clinically confirmed sepsis . 
 there were 12 patients with serum pct 10 ng / ml ( 8 , blood culture positive ; 1 , rickettsia ; 2 , post - antibiotic blood culture sterile ; and 1 , non - sepsis ) ; 7 patients with pct 2 - 10 ng / ml ( 4 , blood culture positive ; 1 , falciparum malaria ; 2 , post - antibiotic blood culture sterile ) ; 3 patients with pct of 0.5 to 2 ng / ml ( sepsis in 1 patient ) ; and 18 patients with pct < 0.5 ng / ml ( sepsis in 2 patients ) . patients with pct  2 ng / ml had statistically significant correlation with the presence of sepsis ( p<0.0001 ) . 
 the pct assay revealed moderate sensitivity ( 86% ) and high specificity ( 95% ) at a cut - off  2 ng / ml . 
 the pct assay was found to be a useful biomarker of sepsis in this study . the assay could be performed and reported rapidly and provided valuable information before availability of culture results . 
 this might assist in avoiding unwarranted antibiotic usage . ",0.5381,0.2558,0.2903,0.4885,0.4143
" climate changes are altering patterns of temperature and precipitation , potentially affecting regions of malaria transmission . 
 we show that areas of the amazon basin with few wetlands show a variable relationship between precipitation and malaria , while areas with extensive wetlands show a negative relationship with malaria incidence . ",0.2158,0.058,0.1223,0.1655,0.2884
" highlightsgiant cell tumour of clavicle is a rare entity.the differntial diagnosis of giant cell tumour of clavicle which pose a diagnostic challenege gor both surgeon and histopathologist are aneurysmal bone cyst , non ossifying fibroma , tubercular osteomyelitis and eosniophilic granuloma.claviculecomy is a good option with no disability noted at long term . ",0.2235,0.0339,0.1341,0.1453,0.2466
" abstractthe incidence of pathological gambling in parkinson 's patients is significantly greater than in the general population . 
 a correlation has been observed between dopamine agonist medication and the development of pathological gambling . 
 however , scientists conjecture that the affected patients have underlying risk factors . studies analysing parkinson 's patients have detected that patients who developed pathological gambling are younger , score higher on noveltyseeking tests , are more impulsive and are more likely to have a personal or family history of alcohol addiction . 
 in addition , some genetic variations have been associated with the susceptibility of developing pathological gambling , which include mutations of drd3 , 5httlpr and grin2b . 
 studies focusing on neurofunctional discrepancies between parkinson 's patients with and without pathological gambling have found increased functional activation and dopamine release in regions associated with the mesolimbic reward system . 
 furthermore , there is also evidence showing increased processing of reward and decreased activation elicited by punishment , suggesting altered learning processes . 
 furthermore , the role of deep brain stimulation of the nucleus subthalamicus ( stn dbs ) is controversial . in most parkinson 's patients , 
 pathological gambling resolved after the initiation of the stn dbs , which might be explained by discontinuation or decrease in dopamine agonist medication . 
 however , it has been also shown that some patients are more impulsive while the stn dbs is activated . 
 these differences may depend on the dbs localization in the more limbic or motor part of the stn and their regulative effects on impulsivity . 
 further research is needed to clarify susceptibility factors for the development of pathological gambling in parkinson 's patients . ",0.4401,0.1882,0.2222,0.3965,0.2692
" backgroundthe aim of this case  control study was to explore the association by gender between the htr2c gene variants and suicidal behavior in a mexican population.subjects and methodsa total of 183 suicide attempters and 208 healthy volunteers were included in this study . 
 we genotyped five polymorphisms of htr2c ( rs547536 , rs2192372 , rs4272555 , rs6318 , and rs2428707 ) , then measured the association by genotype , allele , and haplotype.resultsin the female group , we found an association between two polymorphisms of the htr2c ( rs4272555 and rs2428707 ) and suicide attempts . 
 the c allele of the single - nucleotide polymorphism ( snp ) rs4272555 was associated with a decreased risk of suicide attempt ( p=0.01 , odds ratio = 0.26 , 95% confidence interval : 0.090.79 ) , whereas the g allele of the snp rs2428707 was associated with an increased risk of suicide attempt ( p=0.01 , odds ratio = 3.68 , 95% confidence interval : 1.2410.90 ) . 
 no significant association was observed between the other polymorphisms studied ( rs547536 , rs2192372 , rs6318 ) or haplotypes with suicide attempts.conclusionthese findings suggest a possible risk factor of the htr2c gene in the pathology of suicidal behavior in mexican population . more studies are necessary to confirm this association . ",0.4893,0.1814,0.1995,0.4276,0.3583
" boric acid ( ba ) has broad antimicrobial activity that makes it a popular treatment for yeast vaginitis in complementary and alternative medicine . in the model yeast s. cerevisiae 
 , ba disturbs the cytoskeleton at the bud neck and impairs the assembly of the septation apparatus . 
 ba treatment causes cells to form irregular septa and leads to the synthesis of irregular cell wall protuberances that extend far into the cytoplasm . 
 the thick , chitin - rich septa that are formed during ba exposure prevent separation of cells after abscission and cause the formation of cell chains and clumps . as a response to the ba insult , 
 cells signal cell wall stress through the slt2p pathway and increase chitin synthesis , presumably to repair cell wall damage . ",0.4014,0.0976,0.1869,0.3529,0.3047
" most of the ingested foreign bodies pass uneventfully through the gastrointestinal tract . however , long and rigid foreign bodies are associated with an increased risk of gastrointestinal impaction , perforation , and bleeding . spontaneous passage of a toothbrush has not been reported till date and the technique of its removal is a curiosity for surgeons . 
 endoscopy is a recommended technique for the removal of such complex foreign bodies . 
 however , if it fails , the foreign body can be removed successfully with a laparoscopic gastrotomy . 
 we devised an innovative technique by using pneumatic gastric insufflation and extracted the toothbrush by a tiny gastrotomy under local anesthesia . ",0.4711,0.2422,0.2756,0.3556,0.4047
" [ purpose ] in the present study , we investigated femoral muscle activity during 
 toe - gripping , and the role of the femoral muscles in toe - gripping strength . 
 [ subjects ] 
 fourteen healthy young women were selected . 
 [ methods ] we measured the maximum voluntary 
 contraction of the rectus femoris and long head of the biceps femoris muscles . 
 we then 
 calculated the percent integrated emg ( % iemg ) during the toe - gripping action . 
 [ results ] we 
 found that the % iemg of the biceps femoris was significantly higher than that of the 
 rectus femoris . 
 moreover , a significant positive correlation was found between the % iemg 
 of the rectus femoris and that of the biceps femoris . 
 [ conclusion ] these results suggest 
 that femoral muscles co - contract during the toe - gripping action , and thus possibly 
 contribute to knee joint stability . ",0.5241,0.2917,0.3724,0.5172,0.4515
" we present results of a study investigating evaluative learning in dementia patients with a classic evaluative conditioning paradigm . 
 picture pairs of three unfamiliar faces with liked , disliked , or neutral faces , that were rated prior to the presentation , were presented 10 times each to a group of dementia patients ( n = 15 ) and healthy controls ( n = 14 ) in random order . 
 valence ratings of all faces were assessed before and after presentation . 
 in contrast to controls , dementia patients changed their valence ratings of unfamiliar faces according to their pairing with either a liked or disliked face , although they were not able to explicitly assign the picture pairs after the presentation . 
 our finding suggests preserved evaluative conditioning in dementia patients . 
 however , the result has to be considered preliminary , as it is unclear which factors prevented the predicted rating changes in the expected direction in the control group . ",0.3507,0.0826,0.137,0.3178,0.3191
" introductioninternal herniation of a small bowel behind pelvic vessels is a rare complication seen after pelvic lymphadenectomy.presentation of casea 56-year - old woman was operated due to a gynecological cancer . 
 4 years thereafter she presented with a 2 days history of abdominal pain and vomiting . 
 clinical and radiological findings indicated a small bowel obstruction . 
 a loop of small bowel had herniated behind the left external iliac artery . using laparoscopic technique 
 the herniated bowel was reduced . due to limited peritoneum around the area and skeletonized vessel , we decided not to do any repair of the hernia orifice 
 . the postoperative recovery was uneventful , bowel activity returned to normal and she was discharged the next day.follow-up was done at 1 month and the latest at 10 months . 
 she did nt experience pain or discomfort after the operation.discussiondue to limited peritoneum around the skeletonized vessel , we decided to leave the hernia orifice unrepaired . 
 we found it hazardous to do any direct suture of the orifice or use a free peritoneal graft to repair the defect as the fibrosis and inflammatory process might have compromised the artery or the vein . 
 a longer follow - up of the patient is needed to clearly conclude if this simple procedure has been sufficient . 
 we agreed that if the patient would experience any sign of recurrence and need another operation we would close the defect at that time.conclusion4 years after pelvic lymphadenectomy a small bowel herniation behind an external iliac artery occurred . 
 the patient was successfully treated with reduction of the small bowel using laparoscopic technique . a quick recovery with minimal discomfort and no sign of recurrence after 10 months made our approach an acceptable surgical option . ",0.3555,0.1095,0.1896,0.3223,0.1969
" six organometallic complexes of the general formula [ miicl(6-p - cymene)(l)]cl , where m = ru ( 11a , 12a , 13a ) or os ( 11b , 12b , 13b ) and l = 3-(1h - benzimidazol-2-yl)-1h - pyrazolo[3,4-b]pyridines ( l1l3 ) have been synthesized . 
 the latter are known as potential cyclin - dependent kinase ( cdk ) inhibitors . 
 all compounds have been comprehensively characterized by elemental analysis , one- and two - dimensional nmr spectroscopy , uv  vis spectroscopy , esi mass spectrometry , and x - ray crystallography ( 11b and 12b ) . 
 the multistep synthesis of 3-(1h - benzimidazol-2-yl)-1h - pyrazolo[3,4-b]pyridines ( l1l3 ) , which was reported by other researchers , has been modified by us essentially ( e.g. , the synthesis of 5-bromo-1h - pyrazolo[3,4-b]pyridine-3-carboxylic acid ( 3 ) via 5-bromo-3-methyl-1h - pyrazolo[3,4-b]pyridine ( 2 ) ; the synthesis of 1-methoxymethyl-2,3-diaminobenzene ( 5 ) by avoiding the use of unstable 2,3-diaminobenzyl alcohol ; and the activation of 1h - pyrazolo[3,4-b]pyridine-3-carboxylic acids ( 1 , 3 ) through the use of an inexpensive coupling reagent , n , n-carbonyldiimidazole ( cdi ) ) . 
 stabilization of the 7b tautomer of methoxymethyl - substituted l3 by coordination to a metal(ii ) center , as well as the nmr spectroscopic characterization of two tautomers 7b - l3 and 4b-l3 in a metal - free state are described . 
 structure  
 activity relationships with regard to cytotoxicity and cell cycle effects in human cancer cells , as well as cdk inhibitory activity , are also reported . ",0.2195,0.1043,0.1341,0.1707,0.1457
" juvenile ossifying fibroma ( jof ) is an uncommon , benign , bone - forming neoplasm with an aggressive local growth that is distinguished from other fibro - osseous lesions primarily by its age of onset , clinical presentation and aggressive behaviour . 
 jof is considered as a variant of the ossifying fibroma ( of ) and the former includes psammomatoid jof ( psjof ) and trabecular jof ( trjof ) . 
 both variants involve the craniofacial bones with the trabecular variant being more common in the jaws and the psammomatoid variant being more common in the craniofacial skeleton . 
 psjof is an unique variant of jof that has a predilection for the sinonasal tract and the orbit particularly centered on the periorbital , frontal , and ethmoid bones . 
 we report a rare case of massive psjof involving the maxillary sinus in a 20-year - old female . ",0.3647,0.1284,0.1763,0.3222,0.3193
" endoscopic drainage is a widely used treatment for pancreatic pseudocysts . 
 drainage - related complications may be related directly to the procedure or may occur later as stents migrate or erode into adjacent structures . 
 migration of a self - expanding metal stent into peritoneal cavity and incorporation in the omental bursa is rare . when endoscopic retrieval fails a combined laparoscopic - endoscopic ( rendezvous technique ) approach offers an alternative to open surgery . 
 we report a case of successful gastroscopic - transgastric laparoscopic removal of a stent that was dislocated into the omental bursa after a  year observation period . ",0.3729,0.0914,0.1808,0.2599,0.2361
" analogous to adenomyoepitheliomas of the breast , cutaneous adenomyoepithelioma is composed of two components , one being myoepithelial , the other ductal epithelial , and it lies in the spectrum of neoplasms having a  pure  myoepithelioma at one end and a mixed apocrine tumor at the other . 
 we present the case of a 53-year - old woman with a 3 cm nodular lesion on her left forearm that had been present for many years . 
 histopathologic examination revealed a large lobulated neoplasm surrounded by a compressed fibrous pseudocapsule . 
 most of the cells that constituted the lesion displayed myoepithelial differentiation arranged in solid sheets , cords , and solitary units . 
 glandular and ductal structures with features of apocrine differentiation composed the second part of the neoplasm . the myoepithelial cellular component of the neoplasm stained for s100 protein and was negative for cytokeratin and carcinoembryonic antigen ( cea ) . based on findings by conventional microscopy and immunohistochemistry , 
 the neoplasm was classified as primary adenomyoepithelioma of the skin . ",0.3507,0.0902,0.1716,0.306,0.202
" thousands of novel transcripts have been identified using deep transcriptome sequencing . 
 this discovery of large and  
 hidden transcriptome rejuvenates the demand for methods that can rapidly distinguish between coding and noncoding rna . here 
 , we present a novel alignment - free method , coding potential assessment tool ( cpat ) , which rapidly recognizes coding and noncoding transcripts from a large pool of candidates . to this end 
 , cpat uses a logistic regression model built with four sequence features : open reading frame size , open reading frame coverage , fickett testcode statistic and hexamer usage bias . 
 cpat software outperformed ( sensitivity : 0.96 , specificity : 0.97 ) other state - of - the - art alignment - based software such as coding - potential calculator ( sensitivity : 0.99 , specificity : 0.74 ) and phylo codon substitution frequencies ( sensitivity : 0.90 , specificity : 0.63 ) . 
 in addition to high accuracy , cpat is approximately four orders of magnitude faster than coding - potential calculator and phylo codon substitution frequencies , enabling its users to process thousands of transcripts within seconds . 
 the software accepts input sequences in either fasta- or bed - formatted data files . 
 we also developed a web interface for cpat that allows users to submit sequences and receive the prediction results almost instantly . ",0.3819,0.1111,0.1809,0.3116,0.2603
" release and reception of extracellular atp by leukocytes plays a critical role in immune responses to infection , injury and cardiovascular disease . 
 leukocytes of both the innate , adaptive immune and central nervous system express a repertoire of cell surface receptors for atp ( p2x and p2y receptors ) and its metabolites . 
 atp acts as a damage - associated molecule pattern ( damp ) released by injured or dying cells . 
 detection of released atp by neighboring leukocytes initiates inflammation and wound healing . 
 however , recent evidence from our group and others suggests atp release by leukocytes themselves serves to regulate homeostatic mechanisms and coordinate responses to external pro - inflammatory cues . 
 examples include the homeostatic control of intracellular calcium and regulation of migratory guidance during chemotactic response to external cues . 
 though there has been some progress in elucidating atp release mechanisms of some mammalian cells types , release conduits and coupling signal transduction machinery remain larger elusive for leukocytes . 
 our recent studies suggest a role for secretory lysosomes in releasing atp in monocytes . though poorly defined , 
 targeting atp release mechanisms in leukocytes have great anti - inflammatory potential . ",0.4224,0.0997,0.2178,0.3762,0.2476
" paraoxonase 1 ( pon1 ) is a hydrolytic enzyme with wide range of substrates , and capability to protect against lipid oxidation . despite of the large number of compounds that can be hydrolyzed by paraoxonase , 
 the biologically relevant substrates are still not clearly determined . 
 there is a massive in vitro and in vivo data to demonstrate the beneficial effects of pon1 in several atherosclerosis - related processes . 
 the enzyme is primarily expressed in liver ; however , it is also localized in other tissues . 
 pon1 attracted significant interest as a protein that is responsible for the most of antioxidant properties of high - density lipoprotein ( hdl ) . 
 several bioactive molecules such as dietary polyphenols , aspirin and its hydrolysis product salicylate , are known to stimulate pon1 transcription activation in mouse liver and hepg2 cell line . 
 studies on the activity , function , and genetic makeup have revealed a protective role of pon1 . 
 some striking data were obtained in pon1 gene knockout and pon1 transgenic mouse models and in human studies . 
 the goal of this review is to assess the current understanding of pon1 expression , enzymatic and antioxidant activity , and its atheroprotective effects . 
 results from in vivo and in vitro basic studies ; and from human studies on the association of pon1 with coronary artery disease ( cad ) and ischemic stroke will be discussed . ",0.3866,0.1183,0.1905,0.3249,0.2457
